[6/19/22 01:37AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 04:01PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 04:01PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 04:02PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 04:36PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 04:38PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 04:46PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 04:47PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 04:51PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 06:19PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 06:47PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 06:48PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 06:49PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 06:55PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 07:01PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 07:01PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 07:01PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 07:03PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/2/22 07:26PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/6/22 05:01PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/6/22 05:02PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/6/22 11:47PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/6/22 11:50PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 12:07AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 12:11AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 12:13AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 12:13AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 12:16AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 12:32AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 01:39AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 02:05AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 02:05AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 02:06AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 02:11AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 02:15AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/7/22 02:31AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 02:35PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 02:49PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 03:52PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 03:53PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 03:54PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 03:54PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 03:56PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 03:56PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 03:56PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 03:56PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 04:00PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 04:00PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 04:02PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 04:03PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 04:19PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 04:19PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 04:19PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 04:20PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 04:21PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/9/22 04:22PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 01:59AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 01:59AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:02AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:10AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:10AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:22AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:28AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:30AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:35AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:35AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:36AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:37AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:37AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:39AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:41AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:43AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:45AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:45AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:53AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:55AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:56AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:57AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:00AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:01AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:03AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:06AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:56PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 02:56PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:00PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:01PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:11PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:11PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:13PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:15PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:20PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:20PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:22PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:25PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:28PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:31PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:33PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:33PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:34PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:34PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:44PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:46PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:54PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:55PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 03:56PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:03PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:10PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:14PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:20PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:20PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:24PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:26PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:28PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:29PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:30PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:30PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:30PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:32PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:33PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:33PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:33PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:34PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:35PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:35PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:35PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:42PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:43PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:46PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:46PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:48PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:49PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:49PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:49PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:50PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:51PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:52PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 04:52PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 05:35PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/10/22 05:55PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 03:21PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 03:23PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 03:26PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 03:26PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 03:26PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 03:29PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 03:34PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 03:34PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 03:34PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 03:35PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 03:51PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 03:56PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 04:08PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 04:16PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 04:25PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/11/22 04:33PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 04:08PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 04:09PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[7/12/22 04:10PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
